venta_id,cliente_id,producto_id,fecha_venta,cantidad,descuento
56,989,489,2023-07-29,1,0
57,4948,548,2023-12-01,1,5
58,8458,570,2023-07-18,2,0
59,3027,224,2023-06-30,3,0
60,4791,387,2023-09-03,5,0
61,78,129,2023-06-20,2,0
62,2409,275,2023-03-30,1,0
63,1418,485,2023-08-25,3,5
64,9022,597,2023-03-01,1,0
65,9594,131,2023-08-12,2,0
66,320,176,2023-07-16,1,5
67,3331,382,2023-12-28,3,2
68,5915,336,2023-01-23,1,5
69,8678,169,2023-12-21,3,0
70,228,197,2023-09-06,3,0
71,9728,532,2023-12-25,1,5
72,7986,367,2023-10-10,2,0
73,6831,571,2023-09-17,3,5
74,9504,216,2023-03-01,2,5
75,576,393,2023-12-17,4,0
76,8268,239,2023-08-05,2,2
77,8057,470,2023-04-21,1,0
78,2884,416,2023-05-30,1,0
79,4693,445,2023-11-11,3,0
80,7236,169,2023-06-05,1,2
81,1472,496,2023-08-06,1,0
82,9601,239,2023-07-01,2,0
83,662,200,2023-04-22,3,5
84,1000,196,2023-06-09,1,2
85,3699,130,2023-03-20,3,0
86,4190,277,2023-03-04,4,15
87,3649,224,2023-01-04,4,5
88,7561,486,2023-10-10,1,5
89,6244,217,2023-05-02,1,0
90,2433,240,2023-06-19,3,0
91,2051,276,2023-09-15,1,5
92,9417,404,2023-12-24,1,5
93,3440,305,2023-09-21,3,2
94,3423,200,2023-02-19,1,0
95,4225,167,2023-02-24,4,2
96,2611,496,2023-12-11,2,0
97,3590,355,2023-09-03,1,5
98,3407,153,2023-01-13,3,5
99,872,104,2023-07-17,2,0
100,3402,229,2023-12-07,1,5
101,183,237,2023-03-13,1,5
102,2029,424,2023-08-17,4,0
103,8739,244,2023-05-14,2,15
104,2096,285,2023-08-24,4,2
105,208,238,2023-06-19,1,2
106,6090,486,2023-12-07,2,0
107,6898,393,2023-08-28,2,10
108,6327,252,2023-05-15,3,0
109,2361,150,2023-05-14,2,0
110,3645,338,2023-08-14,1,0
111,5296,206,2023-09-17,2,0
112,9872,320,2023-07-10,1,0
113,2176,370,2023-12-28,1,5
114,623,214,2023-08-08,2,2
115,8485,542,2023-03-21,1,2
116,375,222,2023-03-02,2,0
117,9530,523,2023-09-03,5,5
118,1323,449,2023-09-07,1,0
119,6491,324,2023-06-08,4,2
120,6633,427,2023-09-02,1,2
121,3657,253,2023-06-29,2,10
122,9311,396,2023-09-04,1,0
123,9562,284,2023-09-21,1,5
124,3787,371,2023-05-02,1,10
125,6245,187,2023-02-25,1,2
126,6561,224,2023-11-27,1,0
127,6794,217,2023-08-06,1,0
128,9773,248,2023-01-03,2,0
129,4686,313,2023-05-12,3,2
130,3251,139,2023-06-21,2,0
131,878,177,2023-09-26,1,2
132,7664,582,2023-03-16,2,0
133,2749,280,2023-09-25,2,0
134,3046,188,2023-12-11,1,10
135,7406,238,2023-07-25,2,0
136,6414,103,2023-10-18,2,0
137,171,255,2023-07-19,1,5
138,376,483,2023-06-11,5,5
139,6773,259,2023-04-21,3,5
140,9137,554,2023-07-27,2,2
141,8423,283,2023-08-12,2,0
142,7936,321,2023-10-17,3,2
143,381,407,2023-03-14,1,0
144,5993,427,2023-12-12,1,0
145,8042,518,2023-03-31,1,0
146,9416,528,2023-04-20,4,5
147,3831,377,2023-06-10,2,0
148,5335,167,2023-07-02,2,2
149,6374,324,2023-05-06,5,2
150,7250,378,2023-10-18,1,0
151,1484,404,2023-07-12,3,0
152,7292,241,2023-03-31,1,0
153,6608,361,2023-04-27,1,0
154,2585,483,2023-04-28,1,0
155,9350,431,2023-08-04,2,0
156,9966,588,2023-08-21,1,0
157,3805,284,2023-04-02,1,0
158,1837,196,2023-10-26,2,0
159,3853,359,2023-06-14,1,0
160,3434,270,2023-11-12,1,0
161,6999,101,2023-11-26,2,0
162,7815,307,2023-04-05,1,0
163,9550,163,2023-08-28,4,0
164,3052,191,2023-02-12,1,15
165,3896,473,2023-07-29,2,2
166,5754,383,2023-10-15,3,5
167,1150,427,2023-07-24,2,0
168,4960,163,2023-04-25,2,0
169,6109,168,2023-11-04,1,5
170,6572,101,2023-02-06,1,0
171,6,493,2023-11-10,1,0
172,7896,199,2023-10-15,1,20
173,511,136,2023-03-09,1,0
174,7630,149,2023-12-17,1,0
175,898,298,2023-09-30,2,0
176,4837,412,2023-07-26,2,0
177,6573,421,2023-10-13,1,10
178,5506,162,2023-07-29,2,5
179,9718,214,2023-10-31,2,0
180,1336,357,2023-06-07,2,0
181,128,375,2023-01-05,1,10
182,9789,536,2023-03-16,1,5
183,9151,565,2023-09-18,3,10
184,5991,109,2023-06-28,4,0
185,6924,143,2023-02-25,2,0
186,2302,139,2023-10-05,1,0
187,2209,122,2023-07-24,4,5
188,4345,122,2023-08-31,4,5
189,7832,547,2023-09-04,4,0
190,5951,368,2023-07-22,1,5
191,4177,377,2023-01-03,1,0
192,2971,564,2023-05-31,5,0
193,538,433,2023-03-25,1,0
194,6072,583,2023-01-27,1,2
195,2753,157,2023-02-12,1,5
196,1040,378,2023-01-30,1,5
197,3769,548,2023-09-05,3,10
198,3206,131,2023-03-08,1,10
199,8323,494,2023-06-30,3,0
200,7032,504,2023-02-24,1,0
201,5585,408,2023-06-06,2,0
202,9918,534,2023-10-24,3,10
203,6340,425,2023-02-09,3,10
204,794,596,2023-04-15,1,0
205,1067,173,2023-10-02,3,5
206,97,366,2023-02-14,3,5
207,9123,494,2023-01-05,1,5
208,6670,530,2023-01-16,2,0
209,8185,565,2023-02-07,1,5
210,3869,240,2023-06-04,1,0
211,5774,116,2023-10-26,1,2
212,5447,525,2023-11-27,2,0
213,2158,455,2023-12-10,1,0
214,9735,386,2023-03-22,2,0
215,5708,393,2023-08-27,2,0
216,4493,141,2023-04-22,2,2
217,4758,418,2023-05-11,4,20
218,7260,565,2023-06-06,1,0
219,8744,248,2023-06-15,3,2
220,9840,513,2023-05-06,1,0
221,4681,354,2023-02-20,5,0
222,7691,251,2023-09-02,1,0
223,9543,565,2023-01-06,5,15
224,6348,167,2023-08-10,1,0
225,1982,489,2023-05-23,1,5
226,6538,323,2023-01-03,1,2
227,2089,239,2023-10-22,1,0
228,6768,348,2023-08-25,1,0
229,2579,530,2023-07-01,2,2
230,735,181,2023-01-23,1,10
231,2165,206,2023-02-01,4,0
232,4482,192,2023-12-16,1,0
233,6395,526,2023-01-13,2,5
234,8561,529,2023-08-14,2,10
235,7416,193,2023-02-09,4,0
236,2461,105,2023-08-16,4,10
237,5415,202,2023-10-07,1,0
238,4460,291,2023-12-01,1,2
239,3768,248,2023-08-30,1,0
240,2025,104,2023-08-09,4,10
241,9481,239,2023-11-30,4,0
242,1786,506,2023-10-24,4,2
243,1231,244,2023-11-10,3,0
244,7955,363,2023-03-22,2,5
245,3225,449,2023-11-03,2,5
246,9696,491,2023-07-18,2,0
247,2435,150,2023-12-04,1,0
248,3737,148,2023-03-20,2,2
249,8472,142,2023-07-02,2,15
250,9288,297,2023-02-24,1,15
251,5633,338,2023-07-09,2,5
252,3557,448,2023-05-02,2,0
253,4625,498,2023-12-10,1,0
254,3494,493,2023-09-13,2,15
255,2355,201,2023-09-30,5,5
256,2443,262,2023-04-24,3,0
257,5275,204,2023-04-30,1,0
258,8625,448,2023-07-22,1,0
259,755,228,2023-04-02,1,2
260,8639,196,2023-07-05,2,0
261,4293,326,2023-05-25,1,10
262,726,373,2023-02-16,2,0
263,5259,462,2023-09-11,2,0
264,2120,129,2023-08-16,1,0
265,3525,467,2023-11-28,2,2
266,1684,291,2023-10-10,3,0
267,1562,437,2023-08-27,2,0
268,1347,232,2023-10-15,1,0
269,1996,108,2023-10-21,1,10
270,5825,173,2023-08-04,3,0
271,5012,281,2023-09-15,1,10
272,3499,136,2023-08-05,2,0
273,2007,450,2023-11-06,1,5
274,4533,503,2023-07-31,2,2
275,7658,115,2023-02-03,3,5
276,4957,216,2023-04-18,2,0
277,8893,459,2023-05-10,2,0
278,1128,476,2023-07-13,2,5
279,7802,363,2023-05-27,4,20
280,2144,160,2023-05-14,2,0
281,4181,212,2023-06-16,5,0
282,2091,352,2023-11-25,2,0
283,3452,210,2023-02-12,1,0
284,9865,265,2023-04-07,1,10
285,226,249,2023-06-13,2,15
286,8608,212,2023-10-18,2,0
287,7727,471,2023-11-09,1,0
288,3624,307,2023-05-21,3,15
289,5788,306,2023-01-05,2,0
290,2282,183,2023-11-08,2,0
291,2966,504,2023-09-08,2,0
292,3483,540,2023-11-08,1,15
293,2704,347,2023-07-22,1,0
294,6991,234,2023-09-15,1,0
295,182,565,2023-04-19,3,2
296,7060,392,2023-03-02,3,10
297,6569,438,2023-12-18,1,0
298,5773,219,2023-02-04,1,2
299,4336,206,2023-12-30,2,5
300,9475,550,2023-12-30,1,15
301,5068,541,2023-10-18,1,0
302,4283,193,2023-02-13,3,5
303,7663,386,2023-09-06,2,5
304,5029,387,2023-09-16,4,5
305,4136,421,2023-12-12,1,2
306,5539,397,2023-05-08,1,15
307,9052,513,2023-08-16,1,10
308,2735,138,2023-08-15,2,5
309,1711,207,2023-10-05,1,10
310,6454,273,2023-07-29,1,0
311,7007,367,2023-06-29,2,2
312,5913,504,2023-07-23,1,5
313,5057,146,2023-06-26,5,0
314,5670,213,2023-10-09,5,0
315,8974,435,2023-07-18,1,0
316,8051,538,2023-02-17,1,2
317,8029,535,2023-05-28,1,0
318,1540,139,2023-01-30,2,0
319,8613,596,2023-01-01,1,5
320,6762,598,2023-04-02,2,5
321,4286,400,2023-08-08,1,10
322,8595,587,2023-05-24,3,0
323,4098,523,2023-06-17,2,0
324,9877,393,2023-12-14,1,10
325,3673,372,2023-08-29,1,0
326,9377,296,2023-06-18,1,0
327,600,400,2023-09-03,1,5
328,3174,335,2023-03-07,1,2
329,937,287,2023-07-05,1,2
330,2593,559,2023-04-08,1,15
331,1697,441,2023-11-04,2,0
332,7274,417,2023-03-13,3,0
333,117,161,2023-02-12,1,2
334,1571,527,2023-12-18,2,0
335,2997,474,2023-11-01,1,5
336,9605,318,2023-07-04,1,2
337,8783,545,2023-08-22,2,5
338,573,576,2023-10-03,1,2
339,3285,583,2023-05-07,1,15
340,9686,251,2023-10-29,4,10
341,6730,241,2023-04-09,2,0
342,3290,177,2023-06-28,3,2
343,5746,405,2023-05-24,3,0
344,5486,366,2023-06-11,3,0
345,4249,520,2023-08-01,1,0
346,1283,279,2023-05-09,2,5
347,4507,538,2023-06-11,1,0
348,592,468,2023-08-21,1,5
349,3955,327,2023-06-30,2,0
350,4472,448,2023-10-30,2,0
351,3720,429,2023-08-16,1,0
352,7225,513,2023-10-24,1,10
353,534,496,2023-12-19,2,0
354,8718,211,2023-03-14,2,10
355,9509,197,2023-03-09,2,0
356,9845,295,2023-04-21,3,0
357,4534,516,2023-10-12,2,0
358,908,596,2023-10-20,1,0
359,6330,212,2023-03-06,5,0
360,481,261,2023-02-07,3,10
361,6679,285,2023-07-08,3,0
362,9527,322,2023-03-16,4,10
363,7656,244,2023-08-24,1,15
364,6457,543,2023-06-07,1,0
365,2237,563,2023-06-26,3,2
366,7775,236,2023-02-10,2,5
367,9431,246,2023-10-25,1,10
368,347,192,2023-08-17,1,0
369,8738,157,2023-09-06,2,0
370,4900,366,2023-04-06,4,0
371,7690,204,2023-07-08,5,10
372,356,319,2023-02-01,1,10
373,7327,542,2023-08-27,1,10
374,8653,403,2023-03-18,1,10
375,5636,443,2023-10-03,2,0
376,520,196,2023-10-04,1,0
377,8649,341,2023-05-02,3,0
378,1396,426,2023-11-04,2,2
379,1962,583,2023-02-28,1,10
380,6540,573,2023-02-04,1,0
381,3074,352,2023-06-18,1,2
382,8535,595,2023-04-19,2,2
383,3394,566,2023-11-29,2,10
384,7306,105,2023-05-02,2,5
385,192,351,2023-07-30,3,2
386,6627,533,2023-08-22,1,0
387,7002,237,2023-01-15,1,0
388,3359,490,2023-07-15,2,0
389,4406,363,2023-12-19,3,0
390,8480,531,2023-10-07,2,0
391,5384,438,2023-04-14,2,10
392,4298,418,2023-02-17,1,0
393,163,197,2023-02-12,2,10
394,8292,226,2023-10-16,3,5
395,4200,226,2023-09-27,1,0
396,8508,267,2023-09-29,2,0
397,4278,237,2023-11-20,2,2
398,5169,481,2023-08-02,1,20
399,552,337,2023-08-16,1,0
400,5608,180,2023-06-04,2,0
401,5925,182,2023-03-17,4,0
402,2136,411,2023-12-11,2,0
403,3209,213,2023-01-08,2,10
404,4029,284,2023-11-06,1,0
405,53,226,2023-01-11,2,2
406,5788,241,2023-10-21,3,5
407,7585,207,2023-12-03,1,0
408,9983,283,2023-03-20,2,10
409,72,112,2023-04-17,1,2
410,8712,172,2023-09-12,3,2
411,6300,578,2023-07-08,3,0
412,8657,548,2023-02-15,2,2
413,917,566,2023-12-16,1,0
414,7345,212,2023-11-30,1,5
415,7954,408,2023-06-12,1,5
416,2464,239,2023-10-30,1,2
417,3879,370,2023-10-30,1,0
418,2570,349,2023-02-22,2,5
419,2263,324,2023-12-06,3,2
420,1614,359,2023-05-05,3,0
421,7652,452,2023-06-02,2,0
422,1299,273,2023-11-26,2,0
423,8410,164,2023-07-29,3,10
424,5380,533,2023-04-21,3,0
425,1693,446,2023-10-18,1,5
426,4820,363,2023-07-21,2,0
427,5331,478,2023-01-12,2,2
428,4721,309,2023-09-17,1,10
429,439,328,2023-12-06,1,10
430,5680,502,2023-05-09,2,5
431,3447,289,2023-11-10,2,0
432,1016,360,2023-10-03,1,0
433,7187,498,2023-05-01,1,5
434,8138,579,2023-06-29,1,10
435,6062,246,2023-11-17,1,0
436,7330,176,2023-11-06,3,5
437,4069,348,2023-08-05,2,0
438,1018,464,2023-04-14,1,0
439,4657,381,2023-10-30,2,5
440,7567,559,2023-04-07,3,10
441,7150,319,2023-02-18,2,0
442,6911,438,2023-11-04,1,0
443,9604,214,2023-05-06,1,0
444,7380,321,2023-06-12,2,5
445,6154,255,2023-02-15,1,5
446,2508,352,2023-02-23,2,0
447,1029,583,2023-04-14,1,0
448,3309,242,2023-02-07,4,2
449,810,129,2023-05-04,5,0
450,3943,505,2023-04-16,1,15
451,5957,573,2023-06-08,1,0
452,9147,590,2023-12-20,1,0
453,7925,459,2023-12-20,3,0
454,885,387,2023-10-26,2,5
455,4941,512,2023-09-28,1,0
456,833,251,2023-03-15,2,0
457,5401,449,2023-06-21,1,0
458,9488,334,2023-08-01,1,2
459,758,499,2023-12-08,2,0
460,1124,443,2023-09-05,1,2
461,8482,360,2023-07-18,2,0
462,1442,118,2023-05-15,3,2
463,9785,141,2023-02-03,1,0
464,717,183,2023-05-28,1,2
465,3111,452,2023-09-04,1,0
466,9350,322,2023-03-30,2,0
467,40,441,2023-09-01,1,2
468,7333,366,2023-03-03,2,15
469,9169,373,2023-08-12,2,0
470,7370,367,2023-02-06,3,5
471,7083,307,2023-04-01,4,10
472,2214,479,2023-01-03,1,0
473,1519,196,2023-04-17,3,0
474,4786,347,2023-04-12,3,0
475,4503,535,2023-01-11,2,2
476,2728,490,2023-06-30,3,0
477,7248,405,2023-10-13,1,0
478,9006,343,2023-06-11,3,0
479,9282,187,2023-04-24,2,2
480,5013,578,2023-12-12,1,2
481,9324,416,2023-09-13,1,5
482,5412,514,2023-06-09,1,0
483,4574,106,2023-12-09,2,5
484,9558,489,2023-01-05,2,2
485,6145,238,2023-10-06,2,0
486,8510,133,2023-12-15,1,15
487,2983,530,2023-02-20,3,0
488,2235,237,2023-05-20,2,0
489,860,216,2023-06-20,1,5
490,4422,128,2023-12-24,2,0
491,8433,312,2023-06-29,1,10
492,8534,594,2023-04-29,2,0
493,4350,504,2023-05-01,2,2
494,5334,446,2023-10-10,2,2
495,6093,523,2023-10-19,2,2
496,35,128,2023-11-19,1,5
497,2159,570,2023-05-24,3,2
498,4279,428,2023-04-03,2,0
499,6787,569,2023-03-23,2,0
500,1760,231,2023-12-17,1,10
501,4149,191,2023-01-16,1,0
502,8358,321,2023-06-11,2,0
503,6041,171,2023-01-19,1,2
504,1519,393,2023-12-20,1,10
505,356,512,2023-05-04,1,0
506,3667,263,2023-11-17,2,0
507,1436,421,2023-04-06,1,0
508,3045,464,2023-07-24,3,0
509,6936,311,2023-09-16,1,10
510,9684,455,2023-09-18,3,0
511,3350,381,2023-02-04,1,10
512,8281,416,2023-12-20,3,0
513,626,287,2023-02-25,2,0
514,5728,336,2023-11-24,2,5
515,4842,398,2023-10-30,1,2
516,343,271,2023-11-05,2,5
517,5757,416,2023-08-14,1,0
518,4751,211,2023-04-26,5,5
519,734,260,2023-12-09,1,0
520,6002,164,2023-03-22,1,0
521,2510,560,2023-11-20,1,0
522,9629,334,2023-04-15,3,0
523,7536,157,2023-04-13,1,15
524,2540,123,2023-04-14,1,0
525,4621,228,2023-10-19,1,0
526,5758,304,2023-11-08,1,0
527,1417,564,2023-05-31,1,0
528,6858,491,2023-02-22,2,0
529,2455,316,2023-06-16,1,0
530,3965,308,2023-08-17,2,0
531,7450,471,2023-04-25,1,10
532,5837,563,2023-09-30,3,2
533,7154,382,2023-06-27,1,0
534,7576,590,2023-01-28,1,0
535,8562,147,2023-11-06,2,2
536,3320,515,2023-03-07,1,5
537,3075,395,2023-10-20,3,10
538,274,423,2023-11-11,1,0
539,9548,459,2023-04-27,1,10
540,5421,343,2023-10-25,4,2
541,3086,175,2023-11-10,3,0
542,2424,239,2023-03-06,2,0
543,8657,502,2023-05-02,4,0
544,1809,394,2023-01-09,3,0
545,1062,266,2023-09-16,2,0
546,5179,151,2023-01-19,1,0
547,5981,471,2023-04-01,5,0
548,3902,104,2023-04-25,3,0
549,4959,200,2023-06-19,3,0
550,8852,561,2023-04-13,1,20
551,3823,331,2023-12-05,1,2
552,1572,503,2023-06-18,3,5
553,7223,132,2023-02-10,1,5
554,2780,383,2023-11-24,3,0
555,3477,572,2023-11-28,3,5
556,1517,330,2023-08-22,3,0
557,8671,156,2023-06-15,2,0
558,5810,410,2023-02-04,4,0
559,9221,223,2023-01-12,3,15
560,5688,470,2023-05-13,3,0
561,6201,411,2023-10-07,1,5
562,1207,350,2023-08-03,5,0
563,8185,115,2023-07-08,3,0
564,4915,123,2023-05-21,3,5
565,4850,576,2023-12-28,1,0
566,5474,393,2023-03-15,3,0
567,8151,537,2023-12-09,1,0
568,9447,234,2023-05-23,3,0
569,5249,318,2023-02-23,4,0
570,1814,398,2023-08-29,1,0
571,2109,578,2023-10-30,2,5
572,1063,163,2023-07-24,2,10
573,1926,114,2023-12-27,4,5
574,7144,530,2023-01-02,2,2
575,9368,102,2023-10-24,1,0
576,803,547,2023-03-13,1,2
577,2754,371,2023-01-09,4,5
578,8584,337,2023-06-19,2,0
579,816,144,2023-04-12,2,0
580,6320,360,2023-02-17,4,0
581,5503,319,2023-08-24,3,2
582,6574,257,2023-06-07,5,0
583,5210,593,2023-08-05,1,5
584,1837,404,2023-10-25,1,0
585,1969,598,2023-03-16,1,10
586,9322,579,2023-09-26,2,0
587,8695,501,2023-09-01,1,0
588,8127,283,2023-02-08,2,0
589,8601,314,2023-08-21,1,0
590,9028,167,2023-09-24,2,0
591,8350,331,2023-12-10,1,0
592,3912,292,2023-11-11,2,2
593,5458,436,2023-07-20,1,0
594,6335,410,2023-07-30,2,0
595,5746,175,2023-10-09,3,2
596,1009,457,2023-05-19,1,2
597,2017,177,2023-05-19,2,2
598,9316,316,2023-12-17,2,0
599,3916,448,2023-01-14,2,0
600,9095,345,2023-07-22,1,2
601,8690,168,2023-07-07,3,5
602,6127,219,2023-03-27,3,0
603,2813,128,2023-02-19,2,5
604,8044,230,2023-06-24,1,0
605,2583,307,2023-08-04,2,0
606,6036,163,2023-06-14,2,0
607,2090,171,2023-07-30,1,2
608,8368,321,2023-05-03,4,5
609,9301,434,2023-04-11,3,5
610,6120,529,2023-10-03,2,0
611,7903,455,2023-08-29,3,5
612,9217,141,2023-06-16,1,10
613,4936,209,2023-04-20,1,0
614,8240,574,2023-09-11,1,0
615,5763,117,2023-11-08,1,15
616,2588,126,2023-08-14,2,5
617,3082,295,2023-08-04,3,0
618,5773,314,2023-03-09,2,0
619,9448,152,2023-05-29,1,5
620,7547,600,2023-01-02,2,0
621,272,305,2023-07-28,1,5
622,9490,430,2023-11-30,1,0
623,1106,109,2023-04-20,3,5
624,9716,343,2023-04-05,1,0
625,9578,177,2023-02-11,4,0
626,8595,510,2023-01-26,2,2
627,6811,413,2023-11-22,2,0
628,2550,491,2023-11-05,2,0
629,7345,598,2023-12-13,1,0
630,8238,555,2023-08-19,1,0
631,8184,120,2023-11-08,1,0
632,872,430,2023-02-03,5,0
633,2644,297,2023-03-10,3,0
634,5298,246,2023-06-01,1,10
635,2023,526,2023-03-25,3,5
636,2780,174,2023-08-30,2,0
637,1366,485,2023-06-11,2,0
638,6307,297,2023-11-29,4,5
639,5580,527,2023-12-04,2,0
640,830,314,2023-01-19,3,10
641,8610,537,2023-12-25,1,2
642,5857,156,2023-05-23,1,0
643,1400,479,2023-03-06,4,0
644,1749,350,2023-05-04,1,0
645,9952,273,2023-06-08,2,0
646,5502,239,2023-02-14,1,0
647,6424,285,2023-09-24,1,0
648,9786,510,2023-12-02,1,0
649,5235,383,2023-02-12,2,0
650,6115,473,2023-06-22,1,0
651,5394,191,2023-09-26,1,0
652,1404,517,2023-08-01,1,2
653,4639,182,2023-07-27,4,0
654,1850,249,2023-02-10,1,0
655,8409,593,2023-05-12,3,10
656,9521,198,2023-07-31,1,0
657,5267,179,2023-01-03,1,0
658,501,156,2023-06-13,4,0
659,8292,432,2023-04-21,1,2
660,8245,363,2023-12-16,1,0
661,4871,379,2023-01-27,2,0
662,9829,164,2023-04-01,1,10
663,5357,587,2023-08-09,1,0
664,4475,456,2023-08-21,1,10
665,5135,198,2023-10-17,3,2
666,417,557,2023-02-04,1,0
667,2252,212,2023-02-07,1,10
668,2799,555,2023-12-18,1,0
669,203,473,2023-02-15,4,10
670,4126,303,2023-03-05,1,5
671,3977,500,2023-02-27,5,0
672,4148,182,2023-03-29,1,5
673,7344,343,2023-05-21,1,0
674,3243,434,2023-12-28,4,2
675,8770,353,2023-08-21,4,0
676,6474,566,2023-06-20,1,0
677,8180,350,2023-11-11,1,0
678,5539,192,2023-10-16,3,0
679,3951,527,2023-03-21,1,5
680,1197,110,2023-09-08,3,5
681,8079,595,2023-11-30,1,0
682,2254,277,2023-04-11,1,0
683,1061,324,2023-09-29,2,0
684,3398,404,2023-03-06,5,0
685,3833,398,2023-07-20,2,0
686,1695,513,2023-07-20,3,0
687,3125,565,2023-05-19,1,2
688,2727,498,2023-10-31,2,0
689,350,345,2023-11-19,3,0
690,2960,434,2023-11-16,1,10
691,3785,141,2023-07-09,2,2
692,1160,521,2023-01-30,1,2
693,3066,446,2023-01-30,1,0
694,7661,469,2023-01-21,1,0
695,55,354,2023-06-24,1,2
696,4875,390,2023-04-13,2,2
697,6546,202,2023-10-12,2,0
698,6793,165,2023-10-07,1,10
699,5331,567,2023-07-30,1,5
700,4215,383,2023-04-12,1,5
701,2669,561,2023-05-15,1,0
702,3096,463,2023-01-13,1,0
703,4820,150,2023-07-31,1,2
704,1798,572,2023-09-30,4,0
705,9776,311,2023-07-01,1,2
706,7027,218,2023-05-27,1,2
707,5492,476,2023-01-12,1,0
708,2333,173,2023-03-28,1,10
709,7977,532,2023-07-02,3,10
710,648,464,2023-03-14,4,2
711,3547,425,2023-10-28,1,0
712,7232,133,2023-11-19,3,5
713,9343,485,2023-03-25,4,0
714,7261,480,2023-09-06,3,10
715,1967,137,2023-11-25,1,0
716,9525,317,2023-03-30,3,10
717,3563,137,2023-02-01,2,15
718,3910,154,2023-11-23,5,0
719,2654,599,2023-03-29,3,5
720,5478,501,2023-12-20,4,2
721,432,114,2023-03-27,4,0
722,307,225,2023-09-14,1,15
723,1519,447,2023-01-14,1,0
724,2508,256,2023-01-28,1,0
725,7336,124,2023-02-19,1,0
726,6957,425,2023-07-20,2,2
727,3139,195,2023-10-04,1,2
728,7836,542,2023-11-29,1,2
729,338,244,2023-03-10,1,0
730,3491,471,2023-03-16,1,0
731,6740,285,2023-01-25,1,0
732,6474,101,2023-01-24,2,0
733,1999,221,2023-05-03,1,5
734,9359,256,2023-02-18,3,5
735,2405,451,2023-09-05,2,2
736,5855,317,2023-10-02,5,0
737,1395,351,2023-05-18,3,5
738,9829,557,2023-10-04,4,2
739,9073,564,2023-11-06,2,0
740,7176,570,2023-05-16,1,0
741,7614,437,2023-01-28,3,2
742,1377,373,2023-12-20,1,0
743,2634,122,2023-04-12,2,0
744,5919,160,2023-08-02,1,5
745,6716,576,2023-07-05,3,2
746,7476,525,2023-09-21,1,0
747,502,356,2023-12-17,2,0
748,5107,473,2023-09-04,1,2
749,1753,279,2023-11-15,3,0
750,3158,565,2023-07-27,3,0
751,5330,223,2023-08-29,3,0
752,4570,524,2023-04-22,1,0
753,2994,330,2023-01-30,2,0
754,6727,217,2023-07-08,3,10
755,139,172,2023-12-22,3,15
756,1224,494,2023-05-10,2,2
757,3046,129,2023-09-07,1,2
758,5706,469,2023-05-03,1,0
759,4628,580,2023-10-04,1,5
760,8457,463,2023-08-05,1,0
761,8247,548,2023-07-11,5,2
762,2700,430,2023-09-18,3,15
763,1735,491,2023-12-03,3,0
764,2292,448,2023-08-31,4,0
765,5085,354,2023-10-04,1,0
766,2848,252,2023-05-27,2,0
767,8058,376,2023-09-10,4,0
768,377,588,2023-09-10,1,0
769,7922,142,2023-07-09,1,0
770,7101,165,2023-10-08,1,10
771,8153,131,2023-09-11,2,0
772,1347,159,2023-10-21,5,0
773,7639,499,2023-01-06,1,0
774,771,455,2023-04-14,1,5
775,478,338,2023-03-30,1,0
776,6933,496,2023-07-12,5,10
777,4201,408,2023-10-23,2,5
778,935,234,2023-10-18,1,15
779,7603,327,2023-08-16,3,0
